,Marcap,Pct,Cate
2024-01-04,4289343325975,-0.007470053539582189,건강관리기술
2024-01-05,4335367680465,1.0729930199639304,건강관리기술
2024-01-08,4404238146650,1.588572671594335,건강관리기술
2024-01-09,4520012402905,2.6287010919938902,건강관리기술
2024-01-10,4490429507630,-0.6544870376016476,건강관리기술
2024-01-11,4447183181210,-0.9630777266744106,건강관리기술
2024-01-12,4264743633990,-4.102361872360771,건강관리기술
2024-01-15,4221531145015,-1.0132493927793584,건강관리기술
2024-01-16,4198333085240,-0.5495176744673147,건강관리기술
2024-01-17,3925099438705,-6.508145994790226,건강관리기술
2024-01-18,3869121930385,-1.4261424250303412,건강관리기술
2024-01-19,3856050956480,-0.337827913934452,건강관리기술
2024-01-22,3906760024105,1.3150518029276803,건강관리기술
2024-01-23,4126765809835,5.6314128426764976,건강관리기술
2024-01-24,4053318478875,-1.7797794773078413,건강관리기술
2024-01-25,3871245196640,-4.4919559907252715,건강관리기술
2024-01-26,3890773743500,0.5044513035999287,건강관리기술
2024-01-29,3774632299275,-2.985047496504467,건강관리기술
2024-01-30,3656161093240,-3.1386158078961723,건강관리기술
2024-01-31,3550050785735,-2.9022328283398346,건강관리기술
2024-02-01,3631333299615,2.289615523434585,건강관리기술
2024-02-02,3689857765880,1.6116522895655017,건강관리기술
2024-02-05,3564800001115,-3.3892299568131112,건강관리기술
2024-02-06,3337804852205,-6.3676825863723145,건강관리기술
2024-02-07,3329622542090,-0.24514045839422183,건강관리기술
2024-02-08,3350152861810,0.6165960093216238,건강관리기술
2024-01-02,2605119230865,,건강관리업체및서비스
2024-01-03,2653821374339,1.869478482865028,건강관리업체및서비스
2024-01-04,2530762195120,-4.6370558474249535,건강관리업체및서비스
2024-01-05,2497799569208,-1.3024782010558345,건강관리업체및서비스
2024-01-08,2480154148372,-0.7064386211578566,건강관리업체및서비스
2024-01-09,2522457411025,1.7056707011847694,건강관리업체및서비스
2024-01-10,2501721651145,-0.8220459853700346,건강관리업체및서비스
2024-01-11,2500023562534,-0.06787680037156907,건강관리업체및서비스
2024-01-12,2434606311376,-2.616665384213168,건강관리업체및서비스
2024-01-15,2361965995136,-2.9836576000226045,건강관리업체및서비스
2024-01-16,2341150990055,-0.8812576101376757,건강관리업체및서비스
2024-01-17,2264839944780,-3.2595524850452806,건강관리업체및서비스
2024-01-18,2245251062986,-0.8649124119851526,건강관리업체및서비스
2024-01-19,2238496888949,-0.30082043600137,건강관리업체및서비스
2024-01-22,2258539675386,0.8953680720284796,건강관리업체및서비스
2024-01-23,2306933558086,2.142706777631842,건강관리업체및서비스
2024-01-24,2262948507277,-1.9066457573010176,건강관리업체및서비스
2024-01-25,2228077159042,-1.5409695856031913,건강관리업체및서비스
2024-01-26,2255007119214,1.208663715379532,건강관리업체및서비스
2024-01-29,2247690930459,-0.3244419360214801,건강관리업체및서비스
2024-01-30,2301455404840,2.3919869788334713,건강관리업체및서비스
2024-01-31,2283237588286,-0.7915780820991647,건강관리업체및서비스
2024-02-01,2294359376349,0.4871060339957545,건강관리업체및서비스
2024-02-02,2333277250088,1.6962414057787978,건강관리업체및서비스
2024-02-05,2299124043114,-1.4637440523929124,건강관리업체및서비스
2024-02-06,2284057456670,-0.6553185544349027,건강관리업체및서비스
2024-02-07,2262472144790,-0.945042420757225,건강관리업체및서비스
2024-02-08,2229577053715,-1.453944577870292,건강관리업체및서비스
2024-01-02,22174131559384,,건강관리장비와용품
2024-01-03,22247039840805,0.32879881327367855,건강관리장비와용품
2024-01-04,21927852700016,-1.4347398263905409,건강관리장비와용품
2024-01-05,22021133032448,0.42539656622160305,건강관리장비와용품
2024-01-08,22099566292341,0.35617268093075527,건강관리장비와용품
2024-01-09,22624466374976,2.3751601080828078,건강관리장비와용품
2024-01-10,22389808996620,-1.0371841459896003,건강관리장비와용품
2024-01-11,22527660733270,0.6156896500135955,건강관리장비와용품
2024-01-12,22035606790714,-2.1842212042429643,건강관리장비와용품
2024-01-15,21714625992995,-1.4566460582073226,건강관리장비와용품
2024-01-16,21474201429904,-1.1072010320074543,건강관리장비와용품
2024-01-17,20942269938858,-2.4770722803468592,건강관리장비와용품
2024-01-18,21096791327485,0.7378445081556828,건강관리장비와용품
2024-01-19,21082719817406,-0.0666997642464584,건강관리장비와용품
2024-01-22,20867977272981,-1.01857135267579,건강관리장비와용품
2024-01-23,20929462793686,0.29464053894963094,건강관리장비와용품
2024-01-24,20748638963577,-0.8639678518817528,건강관리장비와용품
2024-01-25,20418375565462,-1.5917352395728557,건강관리장비와용품
2024-01-26,20424281329784,0.0289237716441626,건강관리장비와용품
2024-01-29,20116571204604,-1.506589731170993,건강관리장비와용품
2024-01-30,20248001231640,0.6533420914490717,건강관리장비와용품
2024-01-31,19755679929823,-2.431456301215984,건강관리장비와용품
2024-02-01,19834862627120,0.4008097801658783,건강관리장비와용품
2024-02-02,20152585974949,1.6018429459379258,건강관리장비와용품
2024-02-05,19881005488321,-1.3476210297060254,건강관리장비와용품
2024-02-06,20004042479300,0.6188670439796207,건강관리장비와용품
2024-02-07,19932850272894,-0.3558890983143437,건강관리장비와용품
2024-02-08,20070423306357,0.6901824454582872,건강관리장비와용품
2024-01-02,26227130650182,,건설
2024-01-03,25853109286431,-1.426085715359815,건설
2024-01-04,25645504440008,-0.803016937432599,건설
2024-01-05,25444252570116,-0.784745218651417,건설
2024-01-08,25504447361719,0.2365752007732258,건설
2024-01-09,25818179220714,1.2301064772957782,건설
2024-01-10,26035118173957,0.8402565935747619,건설
2024-01-11,25941859219697,-0.35820445921112,건설
2024-01-12,25727303068180,-0.8270654377543374,건설
2024-01-15,25339650059902,-1.5067767004208754,건설
2024-01-16,25158746343954,-0.713915604676274,건설
2024-01-17,24614603129977,-2.1628391436434358,건설
2024-01-18,24538750446066,-0.30816131184590034,건설
2024-01-19,24612869771778,0.30205012221347083,건설
2024-01-22,24195397175438,-1.696155711264069,건설
2024-01-23,24418967778956,0.9240212173287077,건설
2024-01-24,24241308710738,-0.7275453648417751,건설
2024-01-25,24344742857370,0.4266854890808025,건설
2024-01-26,24744763980024,1.6431519732930777,건설
2024-01-29,25096727597350,1.4223761342404995,건설
2024-01-30,25090081565242,-0.026481668106803635,건설
2024-01-31,24677696013179,-1.6436198144301306,건설
2024-02-01,25149263009262,1.9109036590416073,건설
2024-02-02,25043436048763,-0.42079547404639817,건설
2024-02-05,25060950826779,0.06993759954463385,건설
2024-02-06,24680734463514,-1.5171665508346033,건설
2024-02-07,25055291944875,1.5176107579566445,건설
2024-02-08,25046267414366,-0.03601846080601989,건설
2024-01-02,12770222864658,,건축자재
2024-01-03,12660419848466,-0.8598363345394988,건축자재
2024-01-04,12579602741888,-0.6383446010899241,건축자재
2024-01-05,12559749842593,-0.15781817361285588,건축자재
2024-01-08,12507920385860,-0.4126631293024152,건축자재
2024-01-09,12547736038642,0.31832352264578034,건축자재
2024-01-10,12518952976311,-0.2293884908190602,건축자재
2024-01-11,12465098929093,-0.4301801222506785,건축자재
2024-01-12,12404626721934,-0.4851321879031367,건축자재
2024-01-15,12506267772042,0.8193801586006355,건축자재
2024-01-16,12351824566673,-1.2349264239668756,건축자재
2024-01-17,12158808311663,-1.5626537923051909,건축자재
2024-01-18,12078426844803,-0.661096587754384,건축자재
2024-01-19,12145150275111,0.5524182177475412,건축자재
2024-01-22,12060625266332,-0.6959568787898496,건축자재
2024-01-23,12209774785120,1.236664895014683,건축자재
2024-01-24,12085008291345,-1.0218574541362768,건축자재
2024-01-25,12201741120897,0.9659309016411877,건축자재
2024-01-26,12279339943294,0.6359651596287597,건축자재
2024-01-29,12559838297761,2.284311337273359,건축자재
2024-01-30,12752503465059,1.5339780873798725,건축자재
2024-01-31,12878048878138,0.9844766043231035,건축자재
2024-02-01,13262071114916,2.9819908311570664,건축자재
2024-02-02,13451397725561,1.4275795160837434,건축자재
2024-02-05,13840216269422,2.8905438066272326,건축자재
2024-02-06,14092718795996,1.8244117119171621,건축자재
2024-02-07,13892131097053,-1.423342804512573,건축자재
2024-02-08,14004525431269,0.8090503424621698,건축자재
2024-01-02,1173595929921,,건축제품
2024-01-03,1160454663417,-1.1197437012996914,건축제품
2024-01-04,1145875446189,-1.2563366486951777,건축제품
2024-01-05,1154286921681,0.7340654274402336,건축제품
2024-01-08,1151612916583,-0.231658615182595,건축제품
2024-01-09,1150743564625,-0.07548994505719442,건축제품
2024-01-10,1156169533183,0.4715184794249261,건축제품
2024-01-11,1168665695287,1.080824372667677,건축제품
2024-01-12,1155455517737,-1.1303641069703718,건축제품
2024-01-15,1150235837725,-0.4517421858197479,건축제품
2024-01-16,1149362622093,-0.07591622546965215,건축제품
2024-01-17,1125388425495,-2.0858688230475764,건축제품
2024-01-18,1129834151793,0.39503927686519447,건축제품
2024-01-19,1134922386245,0.4503523321476077,건축제품
2024-01-22,1126575312636,-0.7354752809676346,건축제품
2024-01-23,1133607396286,0.6242000486897048,건축제품
2024-01-24,1131518116028,-0.1843036896940764,건축제품
2024-01-25,1127295370845,-0.37319289220248963,건축제품
2024-01-26,1131096423149,0.33718335072649985,건축제품
2024-01-29,1154565050004,2.0748564290975935,건축제품
2024-01-30,1147918635637,-0.5756639149069098,건축제품
2024-01-31,1135771731721,-1.058167673117305,건축제품
2024-02-01,1156525338280,1.8272691579982014,건축제품
2024-02-02,1166954428302,0.9017606166338066,건축제품
2024-02-05,1172385406558,0.46539763030013503,건축제품
2024-02-06,1187499747880,1.289195620949779,건축제품
2024-02-07,1201932738283,1.2154099761929826,건축제품
2024-02-08,1198397017398,-0.29416961302267675,건축제품
2024-01-02,33224848189605,,게임엔터테인먼트
2024-01-03,32676091921544,-1.651644169837585,게임엔터테인먼트
2024-01-04,32430135398828,-0.7527109524191222,게임엔터테인먼트
2024-01-05,32423895436670,-0.019241246085655028,게임엔터테인먼트
2024-01-08,32590039242983,0.5124116151852043,게임엔터테인먼트
2024-01-09,33429642107110,2.5762560697369485,게임엔터테인먼트
2024-01-10,33127385293145,-0.9041580911831382,게임엔터테인먼트
2024-01-11,33426108243180,0.9017401989067197,게임엔터테인먼트
2024-01-12,32893175501412,-1.5943607251278968,게임엔터테인먼트
2024-01-15,32702234158350,-0.5804892356890412,게임엔터테인먼트
2024-01-16,31607518647428,-3.3475251434541,게임엔터테인먼트
2024-01-17,30263022552776,-4.253722380581138,게임엔터테인먼트
2024-01-18,30164308161406,-0.3261881432955027,게임엔터테인먼트
2024-01-19,30766194915501,1.9953607119857386,게임엔터테인먼트
2024-01-22,30618188361567,-0.48106876505364937,게임엔터테인먼트
2024-01-23,31665130735675,3.4193478782766906,게임엔터테인먼트
2024-01-24,31834089494122,0.5335798543116166,게임엔터테인먼트
2024-01-25,31511583733689,-1.0130830363235255,게임엔터테인먼트
2024-01-26,31772815307512,0.829001728477774,게임엔터테인먼트
2024-01-29,32126491451760,1.1131407173867292,게임엔터테인먼트
2024-01-30,33055310352804,2.8911308364895083,게임엔터테인먼트
2024-01-31,32287744596235,-2.3220648917727904,게임엔터테인먼트
2024-02-01,32155398123804,-0.4098969255549423,게임엔터테인먼트
2024-02-02,33264942154679,3.450568475635274,게임엔터테인먼트
2024-02-05,33100939837227,-0.4930184958368611,게임엔터테인먼트
2024-02-06,32503542681177,-1.804774000338616,게임엔터테인먼트
2024-02-07,32545640202638,0.12951671722043478,게임엔터테인먼트
2024-02-08,32689942853021,0.4433855025881561,게임엔터테인먼트
2024-01-02,4820439278824,,광고
2024-01-03,4831725302069,0.2341285221572953,광고
2024-01-04,4756001038443,-1.5672303140572552,광고
2024-01-05,4773438263768,0.36663628085977784,광고
2024-01-08,4795134119084,0.45451211720237694,광고
2024-01-09,4852621651884,1.1988722603442303,광고
2024-01-10,4824315672059,-0.583313141959263,광고
2024-01-11,4789147266271,-0.7289822677169489,광고
2024-01-12,4724919052990,-1.3411200305604831,광고
2024-01-15,4708397130849,-0.3496763003917436,광고
2024-01-16,4679525976271,-0.6131843550077565,광고
2024-01-17,4594817200216,-1.8101999323124285,광고
2024-01-18,4641185782369,1.0091496599869076,광고
2024-01-19,4630774084023,-0.22433272086526124,광고
2024-01-22,4701689877793,1.5314025794234354,광고
2024-01-23,4741505648708,0.8468395821480623,광고
2024-01-24,4728694305000,-0.27019568586806875,광고
2024-01-25,4893324980014,3.4815250129390574,광고
2024-01-26,4889838641329,-0.07124682499607404,광고
2024-01-29,4815234792441,-1.5256914258365728,광고
2024-01-30,4763928921183,-1.0654905413655102,광고
2024-01-31,4719525237834,-0.9320811473814694,광고
2024-02-01,4726350590729,0.14461948079618203,광고
2024-02-02,4867035546487,2.976608549394566,광고
2024-02-05,4842576856208,-0.5025377366856154,광고
2024-02-06,4797144528522,-0.9381849588563029,광고
2024-02-07,4811392075075,0.29700056915711315,광고
2024-02-08,4758510910765,-1.0990824169983204,광고
2024-01-02,2698232532228,,교육서비스
2024-01-03,2746810853819,1.8003756537205318,교육서비스
2024-01-04,2724603119873,-0.8084915608631671,교육서비스
2024-01-05,2746085120373,0.7884451259455805,교육서비스
2024-01-08,2730641615081,-0.5623826143416277,교육서비스
2024-01-09,2746867407409,0.5942117134078329,교육서비스
2024-01-10,2728977994941,-0.6512659628108652,교육서비스
2024-01-11,2721479494688,-0.27477320326146915,교육서비스
2024-01-12,2684691173885,-1.3517765198968523,교육서비스
2024-01-15,2681300242275,-0.12630620769289447,교육서비스
2024-01-16,2654907178482,-0.9843382466786399,교육서비스
2024-01-17,2588627060048,-2.496513587036109,교육서비스
2024-01-18,2629626275610,1.5838208676239196,교육서비스
2024-01-19,2656307175777,1.0146270751272723,교육서비스
2024-01-22,2649352244056,-0.26182708778647035,교육서비스
2024-01-23,2661465861488,0.4572294023634571,교육서비스
2024-01-24,2694338113696,1.2351183114414077,교육서비스
2024-01-25,2687058062411,-0.2701981331887704,교육서비스
2024-01-26,2700867762305,0.5139338106303848,교육서비스
2024-01-29,2686331270586,-0.5382156032176177,교육서비스
2024-01-30,2676161553241,-0.3785727194688726,교육서비스
2024-01-31,2643044709068,-1.2374755228395484,교육서비스
2024-02-01,2673645992196,1.1578042181053627,교육서비스
2024-02-02,2713010586119,1.4723188499113027,교육서비스
2024-02-05,2721825185575,0.3249010343379988,교육서비스
2024-02-06,2708766792245,-0.47976605548387674,교육서비스
2024-02-07,2680631043672,-1.0386921699406026,교육서비스
2024-02-08,2747154112917,2.481619744053809,교육서비스
2024-01-02,47912797958401,,기계
