,category,name,code
316,초전도체,덕성,004830
317,초전도체,인지컨트롤스,023800
318,초전도체,LS ELECTRIC,010120
319,초전도체,서남,294630
320,초전도체,신성델타테크,065350
321,초전도체,모비스,250060
322,SNS(소셜네트워크서비스),젬백스링크,064800
323,SNS(소셜네트워크서비스),아프리카TV,067160
324,SNS(소셜네트워크서비스),이루온,065440
325,SNS(소셜네트워크서비스),갤럭시아머니트리,094480
326,SNS(소셜네트워크서비스),인포뱅크,039290
327,SNS(소셜네트워크서비스),NAVER,035420
328,SNS(소셜네트워크서비스),카카오,035720
329,SNS(소셜네트워크서비스),유엔젤,072130
330,SNS(소셜네트워크서비스),가비아,079940
331,SNS(소셜네트워크서비스),NHN벅스,104200
332,전기자전거,파워로직스,047310
333,전기자전거,HL만도,204320
334,전기자전거,알톤스포츠,123750
335,전기자전거,에스피지,058610
336,전기자전거,삼성SDI,006400
337,전기자전거,삼천리자전거,024950
338,가상화폐(비트코인 등),매커스,093520
339,가상화폐(비트코인 등),우리기술투자,041190
340,가상화폐(비트코인 등),티사이언티픽,057680
341,가상화폐(비트코인 등),네오위즈홀딩스,042420
342,가상화폐(비트코인 등),위지트,036090
343,가상화폐(비트코인 등),에이티넘인베스트,021080
344,가상화폐(비트코인 등),갤럭시아머니트리,094480
345,가상화폐(비트코인 등),다날,064260
346,가상화폐(비트코인 등),SBI인베스트먼트,019550
347,가상화폐(비트코인 등),한일진공,123840
348,가상화폐(비트코인 등),위메이드,112040
349,가상화폐(비트코인 등),제이씨현시스템,033320
350,가상화폐(비트코인 등),SGA솔루션즈,184230
351,가상화폐(비트코인 등),케이피엠테크,042040
352,가상화폐(비트코인 등),카카오,035720
353,가상화폐(비트코인 등),감성코퍼레이션,036620
354,가상화폐(비트코인 등),SGA,049470
355,가상화폐(비트코인 등),TS인베스트먼트,246690
356,가상화폐(비트코인 등),KG모빌리언스,046440
357,가상화폐(비트코인 등),FSN,214270
358,가상화폐(비트코인 등),엠게임,058630
359,2019 상반기 신규상장,TS트릴리온,317240
360,2019 상반기 신규상장,천보,278280
361,2019 상반기 신규상장,태성,323280
362,2019 상반기 신규상장,에코프로비엠,247540
363,2019 상반기 신규상장,웹케시,053580
364,2019 상반기 신규상장,프로이천,321260
365,2019 상반기 신규상장,현대오토에버,307950
366,2019 상반기 신규상장,지노믹트리,228760
367,2019 상반기 신규상장,미래에셋벤처투자,100790
368,2019 상반기 신규상장,이노테라피,246960
369,2019 상반기 신규상장,노랑풍선,104620
370,2019 상반기 신규상장,드림텍,192650
371,2019 상반기 신규상장,까스텔바작,308100
372,2019 상반기 신규상장,마이크로디지탈,305090
373,2019 상반기 신규상장,현대무벡스,319400
374,2019 상반기 신규상장,코퍼스코리아,322780
375,2019 상반기 신규상장,이지케어텍,099750
376,2019 상반기 신규상장,아모그린텍,125210
377,2019 상반기 신규상장,수젠텍,253840
378,2019 상반기 신규상장,압타바이오,293780
379,2019 상반기 신규상장,엠에프엠코리아,323230
380,2019 상반기 신규상장,컴퍼니케이,307930
381,2019 상반기 신규상장,셀리드,299660
382,음성인식,가온그룹,078890
383,음성인식,셀바스AI,108860
384,음성인식,미디어젠,279600
385,음성인식,코콤,015710
386,음성인식,NAVER,035420
387,음성인식,현대모비스,012330
388,음성인식,블루콤,033560
389,음성인식,브리지텍,064480
390,음성인식,현대에이치티,039010
391,음성인식,카카오,035720
392,음성인식,코맥스,036690
393,음성인식,파인디지털,038950
394,음성인식,파트론,091700
395,웹툰,디앤씨미디어,263720
396,웹툰,엔비티,236810
397,웹툰,미스터블루,207760
398,웹툰,와이랩,432430
399,웹툰,핑거스토리,417180
400,웹툰,조이시티,067000
401,웹툰,키다리스튜디오,020120
402,웹툰,NAVER,035420
403,웹툰,대원미디어,048910
404,웹툰,카카오,035720
405,웹툰,미투온,201490
406,웹툰,탑코미디어,134580
407,웹툰,NHN,181710
408,모바일솔루션(스마트폰),젬백스링크,064800
409,모바일솔루션(스마트폰),이미지스,115610
410,모바일솔루션(스마트폰),카페24,042000
411,모바일솔루션(스마트폰),인지소프트,100030
412,모바일솔루션(스마트폰),MDS테크,086960
413,모바일솔루션(스마트폰),셀바스AI,108860
414,모바일솔루션(스마트폰),엠로,058970
415,모바일솔루션(스마트폰),이루온,065440
416,모바일솔루션(스마트폰),갤럭시아머니트리,094480
417,모바일솔루션(스마트폰),다날,064260
418,모바일솔루션(스마트폰),인포뱅크,039290
419,모바일솔루션(스마트폰),키네마스터,139670
